customer_id,first_name,last_name,email,address,city,state,zip_code,plan_id
CUST00001,Carla,Stewart,carla.stewart@lee.biz,"331 Black Courts, East Alexanderland, ND 86931",Cantuberg,MP,07411,PLAN001
CUST00002,Michael,Mullen,michael.mullen@smith.com,"20764 Morales Mountains Suite 056, Barryport, ID 11663",Riveraville,MA,35752,PLAN002
CUST00003,Christina,Brooks,christina.brooks@abbott-mcguire.com,"04558 Helen Lock Suite 973, Duaneport, ME 04529",Millershire,MS,52368,PLAN003
CUST00004,Jesse,Perez,jesse.perez@barnett.com,"450 Jimenez Land, Melissachester, MN 20073",Suarezbury,AR,86973,PLAN004
CUST00005,Heather,Davis,heather.davis@west.org,"2457 Mendez Fall Suite 208, South Matthew, SC 73631",East Jasonmouth,MH,61053,PLAN005
CUST00006,Diamond,Bennett,diamond.bennett@cruz.info,"87598 Natalie Drives Suite 307, Lake Tasha, PW 89839",Donaldshire,NH,97398,PLAN001
CUST00007,John,Gallagher,john.gallagher@owens.com,"25845 Alexander Roads, Jonesshire, UT 66358",Lake Elizabethshire,FL,03137,PLAN002
CUST00008,Michelle,White,michelle.white@bennett.biz,"6827 Gerald Pass Suite 798, Port Lesliechester, FM 29552",South Tina,KS,22080,PLAN003
CUST00009,Melanie,Meyer,melanie.meyer@hart-barton.com,"0376 Harper Neck, Jonesland, IA 48760",Port Anneport,LA,38661,PLAN004
CUST00010,April,Burton,april.burton@duncan.com,"817 Brown Pike Apt. 228, Port Todd, VI 79327",Port Matthew,ME,42957,PLAN005
CUST00011,Kimberly,Serrano,kimberly.serrano@green-torres.org,"720 Timothy Stream Suite 465, Harrisside, MN 66654",Kevinborough,TN,66691,PLAN001
CUST00012,Jennifer,Cameron,jennifer.cameron@higgins-rodriguez.org,"6417 Samantha Via, Port Debbiehaven, KS 58177",West Annette,VI,01727,PLAN002
CUST00013,Nicholas,Herman,nicholas.herman@mills-dickson.com,"184 Blankenship Grove Suite 434, Kylieview, MI 91128",Ramirezport,NV,59467,PLAN003
CUST00014,Kara,Diaz,kara.diaz@young-garcia.com,"8591 Peterson Corners, Port Lisashire, IL 29353",Lake Dawnbury,HI,98482,PLAN004
CUST00015,Wanda,Barker,wanda.barker@morris.com,"USNV Gomez, FPO AA 20242",Lake Kristen,LA,67575,PLAN005
CUST00016,Angela,Baker,angela.baker@johnston.com,"027 Wendy Trafficway Apt. 799, North Timothy, RI 38592",New Hunter,NH,26492,PLAN001
CUST00017,Diana,Campbell,diana.campbell@ramirez.net,"6766 Karen Canyon Apt. 006, Kristinside, GA 21116",Port Christopher,LA,08143,PLAN002
CUST00018,Daniel,Young,daniel.young@pearson-morales.com,"61920 Hampton Common, Watsonton, OK 86725",Smithland,AL,82204,PLAN003
CUST00019,Tammy,Braun,tammy.braun@sutton.org,"665 Briana Inlet Apt. 967, Amyfort, AS 47680",South Morgan,CA,93590,PLAN004
CUST00020,Cameron,Morrison,cameron.morrison@velazquez.org,"5616 Allen Curve, Joelberg, MD 64916",Port Denise,WI,16496,PLAN005
CUST00021,Amy,Herrera,amy.herrera@johnston.com,"6467 Justin Ridges, Meganchester, NH 84843",Port Jenniferville,MS,04607,PLAN001
